zonal-monthly-mean surface air temperature from ERA5 

Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-37.25	290.71	291.19	290.55	289.18	287.6	286.21	285.41	285.15	285.32	286.16	287.55	289.26
-37.0	290.9	291.37	290.72	289.35	287.76	286.36	285.55	285.28	285.46	286.31	287.71	289.43
-36.75	291.09	291.56	290.91	289.53	287.93	286.51	285.7	285.43	285.61	286.47	287.88	289.61
-36.5	291.26	291.73	291.08	289.69	288.08	286.66	285.84	285.58	285.76	286.62	288.03	289.78
-36.25	291.44	291.9	291.25	289.86	288.24	286.81	285.99	285.72	285.9	286.77	288.2	289.94
-36.0	291.61	292.08	291.43	290.03	288.4	286.96	286.12	285.86	286.05	286.93	288.36	290.12
-35.75	291.78	292.24	291.59	290.18	288.55	287.1	286.26	286.0	286.2	287.09	288.52	290.28
-35.5	291.96	292.41	291.76	290.34	288.7	287.24	286.4	286.14	286.35	287.24	288.69	290.45
-35.25	292.14	292.59	291.93	290.51	288.86	287.4	286.55	286.3	286.51	287.41	288.86	290.63
-35.0	292.31	292.75	292.1	290.67	289.0	287.53	286.68	286.43	286.65	287.57	289.03	290.8
-34.75	292.47	292.9	292.25	290.8	289.12	287.64	286.79	286.55	286.78	287.71	289.18	290.96
-34.5	292.63	293.06	292.39	290.93	289.23	287.74	286.89	286.65	286.91	287.85	289.33	291.11
-34.25	292.8	293.21	292.53	291.05	289.34	287.84	286.98	286.75	287.03	287.99	289.49	291.28
-34.0	292.96	293.36	292.68	291.17	289.43	287.91	287.05	286.84	287.14	288.12	289.64	291.44
-33.75	293.14	293.52	292.83	291.29	289.52	287.98	287.12	286.93	287.26	288.26	289.8	291.61
-33.5	293.3	293.67	292.98	291.42	289.63	288.08	287.22	287.04	287.39	288.41	289.97	291.78
-33.25	293.46	293.82	293.12	291.55	289.75	288.18	287.32	287.15	287.53	288.56	290.13	291.94
-33.0	293.63	293.98	293.27	291.68	289.86	288.29	287.42	287.27	287.67	288.72	290.3	292.11
-32.75	293.79	294.13	293.41	291.81	289.98	288.4	287.53	287.38	287.8	288.88	290.47	292.28
