Selection of zonal-annual-mean climate variables from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)	Sensible Heat Flux (W m-2)	Latent Heat Flux (W m-2)
-32.5130890052356	290.4731232446586	2.8128069453916308e-05	1.695647736334349e-08	3.819968611972022e-05	356.6414491268344	92.63250902282593	201.83943481219595	14.194312125471631	253.12037838448134	345.9701263130455	413.7408574511617	26.38197383363013	95.53746681806226
-31.57068062827225	290.9576872079231	2.7662807825240756e-05	1.7036534390655972e-08	3.8514943581937646e-05	359.8809310557309	91.39395374142053	207.10616515030418	15.403693088142473	255.11694978577543	347.18881869371256	416.89978106485654	28.224001404799182	96.32591641174673
-30.6282722513089	291.50280423714514	2.7192838532295374e-05	1.503007088355407e-08	3.934941854475154e-05	363.03961397416333	90.03894157214796	211.9156592899697	16.153346729568877	257.139894910374	348.85132405760083	420.54152558232374	29.291885151509273	98.4129567486084
-29.68586387434555	291.93819891324324	2.6740454597304446e-05	1.4827335180613031e-08	4.0546081835894236e-05	366.1164526137551	88.93292973581151	215.8407829031371	16.44685082645358	258.8517124456612	350.5416264163994	423.0166171357548	29.2149952241868	101.40579633564063
-28.7434554973822	292.36336153608113	2.635225974183689e-05	1.2453296285924904e-08	4.122045257843601e-05	369.1082799190219	88.4717253233345	219.31120609023617	17.064039379080683	260.5096944389459	352.4993553171637	425.72386036343045	29.654147354561342	103.09240548855195
-27.80104712041885	292.76461219416	2.592113373432599e-05	1.013383829659179e-08	4.194877455851587e-05	372.01767949590584	87.87772019952038	222.4758206189677	17.301369982919734	262.0774976166271	354.45738899248374	428.31242427872377	30.248778286486456	104.91390630738643
-26.8586387434555	293.12393745878154	2.5431698386675135e-05	8.81038009649479e-09	4.27670739903306e-05	374.8383124924577	87.60427672726198	225.43054340452545	17.745967268878466	263.4654945320118	356.3698801530696	430.46288746806226	30.438433214171305	106.96047242478683
-25.916230366492144	293.5260165466529	2.5067281025259198e-05	9.151821832068953e-09	4.353378615282066e-05	377.57447154937813	87.22674355816804	227.79330415190083	17.635828006401816	264.8310704513445	358.75805487503567	432.969502331053	30.58583084413019	108.87801857179807
-24.9738219895288	293.92569704026755	2.480732052365103e-05	6.637717958284272e-09	4.403573783474182e-05	380.22017406951346	87.33284951697384	229.85851245860533	17.91465551336425	266.04466451884406	361.3219668855624	435.206009546248	30.970200564140175	110.13339784345084
-24.031413612565444	294.33071068741964	2.4755430832042987e-05	3.2262337609087333e-09	4.432798411690669e-05	382.7772488181522	87.88047704356265	231.67070428602958	18.509308052549258	267.176690313856	364.07531765772325	437.7674049897971	31.77698843991375	110.86429711249927
-23.0890052356021	294.6707803138025	2.4904228986110886e-05	4.082201995173468e-09	4.520029514397193e-05	385.2447336929937	88.03412732311216	232.99541997316587	18.305648331627633	268.02436872820516	366.7108756599252	439.6283444009488	31.861105811038797	113.0459756285757
-22.146596858638745	294.96280718830985	2.5331806825720938e-05	7.963291628614778e-09	4.585636295157565e-05	387.61858609395483	88.69475659611018	233.9950167002961	18.44686760947403	268.6593324212288	369.44530565383775	441.27719664334165	31.65930198751454	114.68680092861034
-21.204188481675388	295.2631454981916	2.5880410376226713e-05	5.3358392131638075e-09	4.6753987599436256e-05	389.9033533361078	89.25582423918506	234.70140760646746	18.255978941663397	269.17734170186463	372.28484696537754	442.8642784223745	31.16654343770766	116.93172454077038
