<<<<<<< HEAD
Multi-Model LGM-PI SAT reconstruction from PMIP3 & PMIP4 
PMIP3 MAT Global Mean: -4.71C 
PMIP3 MAP Global Mean: -0.29 
PMIP4 MAT Global Mean: -4.77C 
PMIP4 MAP Global Mean: -0.33 
Reference: Soured data from: Kageyama, M., Harrison, S. P., Kapsch, M.-L., Lofverstrom, M., Lora, J. M., Mikolajewicz, U., Sherriff-Tadano, S., Vadsaria, T., Abe-Ouchi, A., Bouttes, N., Chandan, D., Gregoire, L. J., Ivanovic, R. F., Izumi, K., LeGrande, A. N., Lhardy, F., Lohmann, G., Morozova, P. A., Ohgaito, R., Paul, A., Peltier, W. R., Poulsen, C. J., Quiquet, A., Roche, D. M., Shi, X., Tierney, J. E., Valdes, P. J., Volodin, E., and Zhu, J.: The PMIP4 Last Glacial Maximum experiments: preliminary results and comparison with the PMIP3 simulations, Clim. Past, 17, 1065–1089, https://doi.org/10.5194/cp-17-1065-2021, 2021. 

lat	pmip3_mat_mean	pmip3_map_mean	pmip4_mat_mean	pmip4_map_mean	pmip_mat_max	pmip_mat_min	pmip_map_max	pmip_map_min
42.5	-7.011300742521953	-0.3427738825046267	-6.991539143852497	-0.3198009738918118	-3.3912857142857145	-11.59	-0.07257622624834294	-0.561818824569156
43.5	-7.4237609804028954	-0.3657826871842385	-7.458902872376165	-0.3394341642361067	-3.6182857142857148	-12.198	-0.06497481219619969	-0.5719258604605489
44.5	-7.871442511212678	-0.39660921297095614	-7.905957586963548	-0.37083491989642076	-3.846857142857143	-12.806	-0.07885795912387371	-0.6231361516178132
45.5	-8.34900212044365	-0.43249157885036166	-8.326750221644998	-0.4012874461527832	-4.075428571428571	-13.411999999999999	-0.11211559592703824	-0.6743464427750774
46.5	-8.77336704462187	-0.460049747744557	-8.728497298167628	-0.42983868595576674	-4.420567375886525	-14.016	-0.1583723670643687	-0.6971119373776908
47.5	-9.139853006740301	-0.4816084057368153	-9.083380072361464	-0.4682431271246077	-4.749142857142857	-14.62	-0.1892373776908024	-0.6864857142857144
48.5	-9.516158742666041	-0.5076465726352213	-9.433051007826247	-0.5033079263947488	-5.097428571428572	-14.895999999999999	-0.2265514677103718	-0.6758594911937379
49.5	-9.931413707844529	-0.5341176414672294	-9.761972457544907	-0.5322110976618654	-5.611714285714288	-15.172	-0.2244771037181996	-0.709813698630137
50.5	-10.37834432621608	-0.5646348799620253	-10.132529564221638	-0.562894437673088	-5.873	-15.61	-0.25754246575342465	-0.7469479452054795
51.5	-10.80413705267369	-0.5857527622830143	-10.539899620756783	-0.5947332495874194	-6.074571428571428	-16.21	-0.2819090019569472	-0.8179568638880793
52.5	-11.245426842006003	-0.5836769167091139	-10.954639942103643	-0.6113925696364837	-6.3031428571428565	-16.81	-0.27359197651663403	-0.8305762122200477
53.5	-11.67254971849067	-0.5726452255083126	-11.325028260508873	-0.6144921703787458	-6.541048824593128	-17.186	-0.24638747553816046	-0.8078176415162716
54.5	-12.042275817257478	-0.5611101556524547	-11.649520552933582	-0.6096208208860847	-6.665822784810127	-17.562	-0.23653542074363992	-0.7948127853881278
55.5	-12.343235355717148	-0.5457796740502393	-11.90819806842934	-0.6041829097359129	-6.790596745027124	-17.848	-0.2399283757338552	-0.7795068493150684
56.5	-12.611804739577344	-0.5350108314530565	-12.145627686334832	-0.5987139852589675	-6.915370705244123	-18.044	-0.24192446183953034	-0.7633082912761355
57.5	-12.880634866966467	-0.5339014345576086	-12.351863707240513	-0.6015587424786868	-7.0401446654611215	-18.24	-0.2812	-0.763207354001442
58.5	-13.141320069689003	-0.5463760303186868	-12.438260816414454	-0.6186272643805764	-7.112851985559567	-18.203999999999997	-0.335803326810176	-0.7617577734290063
59.5	-13.37664976625436	-0.5779951901982048	-12.463988504583405	-0.6372546874213073	-7.092996389891697	-18.168	-0.3975450097847357	-0.7887259782982277
60.5	-13.520919319257125	-0.6243972887217327	-12.438120576873438	-0.6636017366728103	-7.073140794223827	-18.16	-0.41868336594911937	-0.8301802916482546
61.5	-13.575490214014314	-0.6520303777481111	-12.407916415651602	-0.6726277058344754	-7.053285198555956	-18.18	-0.46524774951076325	-0.8642942996022979
62.5	-13.606229940996483	-0.6552241076734902	-12.39051630887668	-0.6665327922638566	-7.033429602888086	-18.2	-0.49126462588398195	-0.898408307556341
63.5	-13.594143890626567	-0.6403549015159375	-12.326241652455975	-0.6395124519182274	-7.013574007220217	-18.092	-0.4403670441620097	-0.9122893896990228
